;EAR;avgEAR;avgEARLimit;faceBoundingBox;faceDetected;fatigueDetected;leftEye;movAvgSize;rightEye
21:39:43.793878;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:43.889945;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.007029;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.107099;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.213843;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.337035;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.437120;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.544067;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.651957;0.233;0.247;0.250;[100,172,416,480];true;false;[172,268,190,266,209,269,225,279,205,281,186,279];4;[302,287,321,281,341,283,356,287,340,295,321,293]
21:39:44.773048;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.876502;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:44.983027;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.280237;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.323269;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.352291;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.604268;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.649300;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.682323;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.805412;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:45.862451;0.261;0.238;0.250;[108,176,412,480];true;false;[170,270,188,268,208,270,225,282,205,285,185,283];4;[301,290,322,283,342,284,357,289,342,298,322,297]
21:39:45.969062;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:46.074003;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:46.183083;0.240;0.253;0.250;[136,184,420,468];true;false;[175,273,193,271,212,273,229,283,208,286,189,284];4;[302,290,322,283,342,284,358,288,341,297,322,296]
21:39:46.307554;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:46.402315;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:46.527985;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:46.623057;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
21:39:46.744500;0.000;0.000;0.250;[0,0,0,0];false;false;[];4;[]
